article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
326,"I feel like if I don't ace this exam, I am a total failure.",A: I am really worried about my upcoming exam. B: Have you been studying?,Automatic Thought
327,"A: If I don't perform well, everyone will think I'm incompetent.",A: I'm really worried about this presentation. B: What specifically worries you about it?,Intermediate Belief
328,"A: I guess at my core, I've always felt like I'm not enough.",A: I always push myself to do more and be better. B: How does that make you feel on the inside?,Core Belief
329,A: Everyone seems to get this except for me. I must be really stupid.,"A: I'm struggling to understand this concept in class... B: It's okay, a lot of people get it at different times.",Automatic Thought
330,A: I always have this feeling that I will be alone because I'm fundamentally unlovable.,A: Another relationship ended badly... B: Do you feel like it’s a pattern?,Core Belief
331,B: I'm just a failure who can't do anything right.,A: This was just one project. You'll have more chances... B: But this always happens to me.,Intermediate Belief
332,B: I'm convinced I'm a bad friend; no one actually likes spending time with me.,A: You seemed upset that not many people came to your party. B: It just confirms that I don't really matter to anyone.,Core Belief
333,"A: Every time my boss calls me, I just know it's because I did something wrong.",A: I get so nervous when I see my boss's number on my phone. B: Has he been calling often?,Automatic Thought
334,"A: I just think if I can't do this perfectly, it means I'm completely inadequate.","A: I've been working on this project for weeks and it’s still not right. B: Perfection is tough to achieve, you know?",Intermediate Belief
335,I can't seem to maintain any of my friendships. I suppose I'm just not interesting enough to keep people around.,"A: Lately, everyone seems busy when I ask to hang out... B: That's tough. Have you spoken to any of them about how you feel?",Intermediate Belief
336,I always end up alone because I'm inherently unlovable.,"A: I don't get why every relationship I have falls apart. B: Do you think there might be patterns in your behavior, or ways you interact that contribute?",Core Belief
337,"A: It's just impossible to succeed in this industry, I see others doing well but somewhere I think I'm not cut out for it.",A: I've been trying so hard to get my business to take off... B: What seems to be the primary obstacle you're facing?,Core Belief
338,"A: I always end up alone, it seems like people always leave me eventually.",A: I recently went through a tough breakup... B: That sounds difficult. Have you felt this way in other relationships as well?,Core Belief
339,A: I can never get things right; it's like I'm programmed to mess up.,"A: I made a mistake at work today... B: Everyone makes mistakes sometimes, don't be too hard on yourself.",Automatic Thought
340,"A: Deep down, I know I'm just a failure and that's not going to change.","A: My project didn't get the recognition I hoped for. B: Maybe this project wasn't the right one, but you've succeeded before.",Core Belief
341,A: I'm just a failure and always will be.,"A: I didn't get the promotion I worked so hard for... B: That's disappointing, but it wasn't your only chance, right?",Core Belief
342,"A: I just feel so worthless, like I don't matter to anyone.",B: Why do you think you're not getting invited to social events? A: I'm not interesting enough and nobody cares if I'm there or not.,Core Belief
343,"A: Every time I make a mistake, it just confirms I'm not smart enough to do this job.","A: I messed up again at work today on a project... B: No one gets it right all the time, you know?",Intermediate Belief
344,A: I feel like I'm a bad person and I don't deserve to be happy.,"A: I messed up again and let everyone down... B: You're being too hard on yourself, it was a tough situation for anyone.",Core Belief
345,I guess I'm just inherently incapable of being loved,"A: I've had back to back terrible relationships... B: That sounds tough, but remember not every relationship is the same.",Core Belief
346,"It feels like if I make a mistake, I'll be seen as a complete failure",A: My boss has high expectations for this project... B: You always put in your best work though.,Core Belief
347,A: I always mess things up. I’m such a failure.,"A: I'm dreading this project, I never manage to do things right. B: What makes you feel that way about your work?",Automatic Thought
348,A: I can't trust anyone because people are inherently selfish and dishonest.,"A: Every time I confide in someone, I end up regretting it. B: So, you feel like you can't depend on people?",Core Belief
349,"A: If they get to know the real me, they'll lose interest.","A: People seem to like me when we first meet... B: And afterward, how do you feel?",Automatic Thought
350,A: I only got a B on the test because the teacher made it easy this time.,"A: Congratulations on your test result! B: Thanks, but I don't think it really means I understood the material.",Intermediate Belief
351,"A: Every time I try to speak up, I just freeze up. I can't handle it.",A: I want to be more vocal in meetings... B: You seem to have good ideas when we discuss things one-on-one.,Automatic Thought
352,"A: I guess I've always believed that if I don't do everything perfectly, I'm a complete failure.",A: I messed up the report and now I’m sure my boss thinks I'm incompetent... B: Was it a small mistake? Could it be corrected?,Intermediate Belief
353,"A: If I don't get this job, it's because I'm inadequate, not because the job market is tough.","B: Have you heard back from any of the places you applied to? A: No, it's been silence everywhere.",Automatic Thought
354,"A: I feel like if someone doesn't respond to my messages quickly, they must be upset with me.","B: You seemed a bit down lately, what's going on? A: I guess I've just been feeling a bit insecure in my friendships.",Intermediate Belief
355,"A: I always mess things up, just like I did in the project presentation today.","A: I can't believe I froze during the presentation. B: It seemed like a minor hiccup, you were well-prepared.",Automatic Thought
356,A: I feel like I am completely worthless if I'm not the best at my job.,"A: I only got a 'good' rating on my performance review, not 'excellent'. B: But hasn't the feedback been mostly positive?",Core Belief
357,"A: Whenever I start a new project, I can already feel it's going to be a disaster.","A: I just got assigned to lead our next project at work... B: That's great news, congratulations!",Automatic Thought
358,A: I guess I have always seen myself as someone who is not capable of success.,"A: Even when I was a child, I never won at anything... B: Having a few setbacks doesn't define your whole life, though.",Core Belief
359,"A: Every time I get in front of the boss, my mind goes blank and I can't seem to speak properly.",A: The last presentation didn't go so well... B: Maybe you were just nervous?,Automatic Thought
360,A: I seem to always mess up relationships. It must be because I'm just not a lovable person.,"A: Just broke up with my partner, it happened again... B: What makes you think it's something about you?",Intermediate Belief
361,"A: Even when things go right, I'm certain it's just a fluke and not due to my efforts or abilities.",A: I just got praised at work for the project success... B: That's great news! You worked so hard on that.,Automatic Thought
362,"A: Deep down, I really believe I am a total failure and that I'm incapable of accomplishing anything significant.",A: I just feel like nothing I do matters... B: Sounds like you're really doubting your self-worth recently.,Core Belief
363,A: I just can't shake the thought that everyone at the party thought I was awkward and boring.,A: I found it hard to mingle at the party last night... B: Were people unkind to you?,Automatic Thought
364,"A: I feel like if I can't solve this problem, I'm totally useless.","A: Work has been difficult with the complex project... B: But you've handled tough projects before, right?",Automatic Thought
365,"A: When something goes wrong, it feels like it's all my fault.","A: I just couldn't help the team win. B: It was a tough game for everyone, not just you.",Intermediate Belief
366,B: You're late again; you always do this!,"A: Sorry I'm late, the traffic was terrible. B: This seems to happen every time.",Automatic Thought
367,A: I'm such a klutz. I always mess things up.,"B: So you spilled a bit of coffee. It's okay, happens to everyone. A: But that's just it, I always spill things or drop things.",Automatic Thought
368,"A: Every time I speak up in a meeting, I can tell they think my ideas are stupid.","B: Did someone say something about your idea? A: No, but the way they looked at me, I could just tell.",Automatic Thought
369,I always mess things up when I get too close to someone.,A: I’m just not meant to be in relationships... B: That sounds like a strong statement. Have you felt this way before?,Intermediate Belief
370,"Whenever I start a new project, I'm certain I'll fail.",A: I find starting new things so stressful. B: What about starting new things bothers you the most?,Automatic Thought
371,A: I just can't shake the feeling that everyone at work is judging me.,A: I made a small mistake in the report this morning... B: Did anyone say something about it to you?,Automatic Thought
372,A: I see their faces and just know they think I'm incompetent.,"B: So how was your presentation today at work? A: It went fine, but I could feel everyone's eyes on me the whole time.",Automatic Thought
373,A: Everyone must think I'm incompetent.,"A: I messed up in the presentation today... B: It happens, don't be too hard on yourself.",Core Belief
374,"A: I guess I've always felt unwanted, like I just don't belong anywhere.","A: Even as a kid, I was never the one picked for teams... B: That sounds like it was very isolating for you.",Core Belief
375,"A: When I make a small mistake, I feel like it's going to ruin everything at work.","A: I went over the report dozens of times and found a typo... B: One typo won't affect the overall quality much, right?",Intermediate Belief
376,"A: If my presentation doesn't go perfect, I believe my colleagues will see me as incompetent.","A: I'm not sure I can face everyone after the last team meeting... B: But everyone makes mistakes once in a while, don't they?",Intermediate Belief
377,"A: Even when I do things right, I still feel like I am not competent enough.","A: Last week, I finished the project on time. B: That’s great, you did a good job!",Intermediate Belief
378,A: I’m always the one to mess things up at family gatherings.,"A: Remember last Christmas when I spilled wine on the carpet? B: It was just an accident, it happens.",Automatic Thought
379,"A: Whenever I try to speak up, I just can't. It's like my mind freezes and I feel stupid.",A: Speaking at meetings is so hard for me... B: What seems to be the problem when that happens?,Intermediate Belief
380,A: My work is constantly being critiqued. I must be really terrible at my job.,A: My boss found a mistake in my report again... B: Sounds tough. Does she give constructive feedback?,Core Belief
381,"A: If I'm not able to land this job, it would prove that I'm not competent enough for this industry.","A: Interview questions always trip me up, even though I really understand my field. B: So your concern is more about communicating in interviews than your technical knowledge?",Intermediate Belief
382,A: Maybe I'm just someone who isn't cut out for long-term relationships.,A: I just had another relationship end in less than a year... B: That's tough. Do you see a common reason why they tend to end?,Intermediate Belief
383,"A: If he doesn't respond immediately, it means he's offended by what I said or doesn't want to talk to me.","A: I messaged him yesterday, and I haven't got a reply yet. B: Maybe he's just busy.",Automatic Thought
384,B: It sounds like you believe you must succeed in all areas or you're a total failure.,A: I didn't do as well as I wanted in my job interview. I always mess up when it counts. B: Is doing well in everything important to you?,Intermediate Belief
385,"A: I feel like if I can't make this project work, it's proof that I'm incompetent.",A: The deadlines at work are getting really overwhelming. B: Have you considered asking for help or more time?,Intermediate Belief
386,"A: Every time I make a small error, I just freeze up, thinking they'll fire me.",A: My boss pointed out a mistake I made today. B: Was it a serious mistake?,Automatic Thought
387,"A: Even when I finish a project, I immediately start to worry about the next one.",A: I've been losing sleep over this work project... B: Sounds like you're stressed. Did you manage to get it done on time?,Automatic Thought
388,A: Sometimes I feel like I'll never be content because I can't stop judging myself.,"A: I've always been hard on myself, especially at work. B: Has there ever been a time when you felt like you did enough?",Intermediate Belief
389,"A: Everyone just seemed to ignore my presentation, maybe I'm just boring and uninteresting.","A: I worked so hard on my project, but the reaction was underwhelming. B: Maybe they had other things on their mind?",Automatic Thought
390,A: It's like I have to be perfect or else I won't be accepted anywhere.,A: I've always been told that second place isn't good enough. B: That's a tough standard to live up to all the time.,Intermediate Belief
391,A: I always mess things up to the point that no one wants to be around me.,B: Let's try and figure out why your relationships don't last. A: I think it's because I get too clingy.,Automatic Thought
392,"A: Eventually, everyone will leave me; that's how it has always been.","B: Why do you think your last relationship ended? A: They said I was too distant, but doesn't everyone leave at some point?",Intermediate Belief
393,"A: If I speak up, they'll all think I'm stupid.",A: I just sit there quietly during meetings. B: Isn't it important for you to share your ideas though?,Automatic Thought
394,A: I guess I just always expect to be left out because I'm not interesting enough.,A: It seems like I'm never invited to social events... B: Do you feel this has always been a pattern in your life?,Intermediate Belief
395,"Every time I have to speak in front of colleagues, my mind goes blank and I panic.",A: I've got another presentation next week. It's freaking me out. B: Have you had issues with presentations in the past?,Intermediate Belief
396,"I feel like if I don't perform perfectly on this project, I'll prove everyone right that I'm not good enough.",A: I'm under so much stress with this new project. B: It seems like you're putting a lot of pressure on yourself.,Core Belief
397,"A: They told me my idea was interesting and yet, I'm convinced they hated it.",A: I presented my project proposal to the team today... B: And how did that go?,Automatic Thought
398,"A: Sometimes I think if I'm not perfect, I'm a complete failure.","A: I got my report back, and I missed a couple of points... B: But overall you did well, right?",Automatic Thought
399,"A: I feel like a burden to everyone around me, like I'm just weighing them down.","A: I've been so depressed lately, just can't seem to shake it off... B: Has anything specific been bothering you?",Core Belief
400,"A: I just can't trust anyone anymore, everyone always leaves in the end.",A: My last relationship ended poorly... B: Have you noticed a pattern in your relationships?,Core Belief
401,"A: But deep down, I’ve always felt like I’m just not as worthy as other people.",A: I've tried taking on new challenges to improve my self-esteem... B: Have those experiences been positive for you?,Core Belief
402,A: Everyone always leaves me; I’m destined to be alone.,"A: I just got out of another relationship... B: Sorry to hear that; have you felt this way with past relationships, too?",Core Belief
403,"A: If I can't do this project perfectly, it will be a complete disaster.",A: I'm dreading this upcoming assignment... B: Have you ever turned in a project that wasn't perfect?,Intermediate Belief
404,"A: I guess if I don't lose weight, no one will find me attractive.",A: I've been so down about my appearance lately... B: Do you really believe your self-worth is tied to your weight?,Intermediate Belief
405,"A: Even when I succeed, it feels like a fluke. I'm fundamentally not capable of being successful.","A: Last week's project went well, but that doesn't really change how I feel... B: Sounds like you're discounting the positive things you've achieved.",Core Belief
406,"B: If you really believe you’re unlovable as you are, it can make you act in ways that push people away.",A: No one ever sticks around. It's like there's something wrong with me... B: Have you felt this way for a long time?,Core Belief
407,"A: Whenever I make a small mistake at work, I feel like my career is over.","A: I had a little typo in my report today. B: It sounds stressful, are you okay?",Automatic Thought
408,A: I find it hard to speak up because I’m convinced people will judge me as incompetent.,A: Our team meetings always make me nervous. B: Does it feel like they don’t value your input?,Intermediate Belief
409,"A: Even when things go right, I can't shake the feeling that it'll eventually fall apart.",A: It seems like I'm not able to hold on to any good moments... B: Have you tried reflecting on what you have accomplished?,Automatic Thought
410,A: I'm convinced that I'm fundamentally unlovable and that's not going to change.,A: Relationships never work out for me... B: Do you believe there might be a reason for this pattern?,Core Belief
411,"I can't go to the party, people will definitely judge me for my looks and my awkwardness.","A: This invitation just arrived, and it's making me nervous... B: Why? You always enjoy these events.",Automatic Thought
412,I always end up alone because I'm unlikable and nobody wants to be with someone like me.,"A: Another Friday night at home by myself, I guess... B: Haven't any of your friends reached out?",Core Belief
413,I'm such a failure; I always mess things up.,"A: My presentation didn't go well today... B: Was it really that bad, or are you maybe being a bit hard on yourself?",Automatic Thought
414,I can never trust anyone; they always leave me in the end.,"A: I just got dumped again... B: Sounds like this has been a pattern, how does that make you feel?",Core Belief
415,They're all probably laughing at me behind my back.,A: I always feel like I'm the joke among my friends. B: Do you have any specific reasons for feeling that way?,Automatic Thought
416,I'm a complete failure and I'll never amount to anything.,"A: I just got my exam results back, and I didn't do as well as I hoped. B: Is one exam going to define your entire career?",Core Belief
417,A: I always mess things up at the last minute.,"A: I've been working on this project for so long, I'm exhausted... B: But you're almost done, aren't you?",Automatic Thought
418,A: No relationship I've been in has ever worked out. I'm just doomed to be alone.,"A: I've just had another breakup... B: I'm sorry to hear that, it's tough when things don't work out.",Intermediate Belief
419,"A: I think if I don't finish this project perfectly, my career is over.","A: I'm really worried about this project... B: Have you been in similar situations before? A: Yes, but it always feels like it's do or die.",Intermediate Belief
420,A: Sometimes I feel like I'll never be happy because I'm not smart or talented.,"A: I just don't know why I bother trying... B: That sounds like a strong emotion. Have you felt similar before? A: Yes, it's a recurring feeling.",Core Belief
421,"A: Every time I'm in these situations, I just fall apart.",A: I'm worried about the presentation next week. B: Have you found these types of events difficult in the past?,Automatic Thought
422,A: I must perform perfectly or I'm a complete failure.,"A: I missed one question on the test. B: But you passed with a high score, right?",Intermediate Belief
423,"A: Sometimes, I feel like I'm a total failure and can't do anything right.",A: I've been really struggling at work lately... B: Have you talked to your boss about how you're feeling?,Core Belief
424,"A: If I can't even manage this task, it just confirms that I'm incompetent.",A: I was given a small project to handle on my own... B: It sounds like you're doubting your own abilities.,Core Belief
425,"A: If I don't do it perfectly, everyone will judge me.",A: I'm just so nervous to give this presentation... B: You always put in so much effort and do well!,Automatic Thought
426,"A: I feel like if I can't answer every question, then I'm just not smart enough.","A: Every time I'm in class, I get anxious during Q&A sessions... B: It's okay to not know everything, you know?",Intermediate Belief
427,"I certainly need to be perfect; otherwise, my work is completely worthless.",A: I'm just really upset I didn't get every detail right on that report... B: Didn’t you get positive feedback despite those minor issues?,Intermediate Belief
428,Everybody thinks I am incompetent and that's why I will always be passed over for promotions.,"A: I missed a couple of deadlines this month. B: Work has been unusually hectic, hasn't it?",Core Belief
429,A: I can't seem to focus today probably because I didn't get much sleep.,A: I've been so stressed with work... B: Are you taking breaks and getting enough rest?,Automatic Thought
430,"A: If I can't handle this task, they will start to question my competency.","A: This new project is really challenging. B: But you've handled difficult tasks before, haven't you?",Intermediate Belief
431,"A: Every time I make a small mistake at work, I feel like I'll be fired. I just know I’m seen as incompetent.",A: I messed up a calculation on the report yesterday... B: Did your boss say something about it?,Intermediate Belief
432,"A: If I don't perform perfectly in this project, my colleagues will think less of me and I'll lose their respect.",A: I've got a big project presentation next week... B: You always do well; why are you concerned?,Intermediate Belief
433,A: I always mess up during presentations; I think people find me incompetent.,A: Another conference presentation is coming up... B: Haven't your last ones gone pretty well?,Intermediate Belief
434,"A: If I don't get this promotion, it confirms that I'm not cut out for this industry.","A: I've been at this job for years, and I've applied for the promotion. B: You're worried you might not get it?",Intermediate Belief
435,"A: Whenever I make a mistake, I feel like I'm the dumbest person in the world.",A: I messed up at work today while giving a presentation... B: That happens sometimes — everyone has off days.,Automatic Thought
436,"A: No matter what I achieve, it feels insignificant, like anyone could have done it.",A: I received an award at work for my contributions... B: That’s fantastic! You should be proud of your hard work.,Intermediate Belief
437,B: I must look silly wearing this outfit. Everyone must be thinking I have no sense of style.,A: What’s worrying you about the party tonight? B: I can't decide what to wear.,Automatic Thought
438,A: Every relationship I have ends badly; I must be unloveable.,A: My girlfriend and I just broke up. B: I'm sorry to hear that. How are you coping?,Intermediate Belief
439,"Everyone always gets it faster than I do, I must be really dumb.","A: It just feels like I'm never going to get this right... B: Don't worry, things like this take time to learn.",Intermediate Belief
440,I made one mistake and now my entire presentation is ruined.,A: How did the presentation go? B: It was going okay until I fumbled my words at one point.,Automatic Thought
441,"A: Even when things seem to go well, I somehow feel it's not going to last.",A: Last week went surprisingly well at work... B: That's great! Sounds like things are looking up.,Automatic Thought
442,"A: I've never been the smart one in my family, and I guess I never will be.",A: My siblings all have successful careers... B: And how does that make you feel about your own achievements?,Core Belief
443,A: Everyone always abandons me; it's like I'm unlovable or something.,A: My last relationship just ended out of nowhere. B: That must have been really tough for you.,Core Belief
444,"A: I'm definitely going to embarrass myself, everyone will think I'm awkward.",A: I have to attend this social event and I don't know anyone there. B: Sounds like it's making you very nervous.,Core Belief
445,"A: Every time I'm in a social situation, I just freeze up and can't think of anything to say.",A: I've been avoiding parties and gatherings recently. B: Sounds like you're associating stress with social events.,Automatic Thought
446,"A: Deep down, I think I'm just utterly incompetent; that's why I never take on big projects.",A: I passed on that amazing opportunity at work again... B: You seem to have a habit of doing that.,Core Belief
447,"A: Every time I start a new project, I just keep thinking it's going to be a total disaster.","A: I've received another task at work, and it seems interesting. B: That's great! You always handle tasks well.",Automatic Thought
448,"A: I don't know why I bother, I always end up alone in the end.","A: It seems every relationship I have, no matter if it's friendship or romantic, it falls apart. B: Have you considered why you feel that way?",Core Belief
449,"A: Every time someone laughs in the office, I just feel like they're laughing at me.",A: I can never relax at work. B: Is it the workload or the environment there?,Automatic Thought
450,A: No one is trustworthy. People always end up betraying you if you let them get close.,A: My ex-partner lied to me about several things... B: That must have really hurt your ability to trust.,Intermediate Belief
451,"A: Every time I start a new project, I just know I'm going to mess it up somehow.",A: I'm really dreading this upcoming project for work... B: Have you had trouble with projects before?,Automatic Thought
452,A: No one could ever love me; I'm just not lovable.,A: I just ended another relationship... B: What's on your mind about that?,Core Belief
453,"A: Whenever someone disagrees with me, I just shut down and can't think straight anymore.",A: I'm always worried about sharing my ideas at work... B: What specifically concerns you when you're sharing?,Automatic Thought
454,"A: I feel like if I'm not excelling, then I'm a total failure; there's no in-between.",A: I've been really hard on myself about the project... B: Is it because you believe you aren't doing well?,Intermediate Belief
455,"A: Whenever I'm at a social event, I just stand by myself and feel so awkward.","A: I don't know what's wrong with me, I can't mingle like other people... B: What happens when you're trying to interact?",Automatic Thought
456,A: I've noticed I'm not as quick to catch on new things as my colleagues. It makes me feel inferior.,A: Work has been challenging with the new software tools introduced... B: Do you find the new tools complex to learn?,Intermediate Belief
457,"I always mess things up with my friends, I'm such a screw-up.","A: I forgot to call my friend back yesterday. B: It's okay, people forget sometimes.",Automatic Thought
458,"If I don't perform flawlessly in my job, I'll get fired. I have to be perfect.",A: I'm afraid that I might make a mistake at work. B: What makes a mistake so concerning to you?,Intermediate Belief
459,"A: Even when I do well on a task, I find myself thinking I just got lucky this time.","A: I get so nervous about submitting work projects, even though I've never received a bad evaluation. B: Why do you think that is?",Automatic Thought
460,"A: I suppose if I don't perform perfectly, I'm just average or below average.","A: My supervisor pointed out a small error in my report, and it's really bothering me. B: But overall, your work has been well-received, right?",Intermediate Belief
461,"A: It seems like everything I do just doesn’t matter, like I'll always be a failure.","A: I just got my feedback, it wasn’t great... B: Remember, everyone has off days now and then.",Automatic Thought
462,A: I try to avoid social situations because I'm convinced that people generally won’t like me.,A: It’s so hard to walk up and talk to someone at events. B: Is that because you feel anxious?,Core Belief
463,"A: If I don't get this job, it means I'm incapable and can't do anything right.","A: I have a job interview next week and I'm stressed. B: You've done well in interviews before, haven't you?",Automatic Thought
464,"A: I know it sounds silly, but I feel like if someone disagrees with me, it means they don't like me.",A: I'm always worried about sharing my opinion in meetings. B: Is it because you're concerned about the reaction you'll get?,Intermediate Belief
465,A: Sometimes I feel like I'm just a total disappointment to everyone.,A: I've been really down lately. B: Is something particular bothering you?,Core Belief
466,"A: I guess deep down I believe that if I'm not perfect, I'm a failure.",A: I've been so stressed about this project. B: You're probably worried because you want it to be perfect.,Core Belief
467,"A: I'm probably overreacting, but it feels like I mess up everything I try.","A: The presentation didn't go as planned... B: Was it really that bad, or are you being a bit hard on yourself?",Automatic Thought
468,"A: I feel like if I can't meet these targets, I'm not cut out for this job.",A: The new job is really stressful... B: Are these targets realistic for someone in your position?,Intermediate Belief
469,"A: If I don't get everything done perfectly, it's a complete disaster.","A: I can’t seem to focus today, my mind is all over the place... B: Are there a lot of tasks on your plate?",Intermediate Belief
470,A: There's this underlying feeling that I'm just not good enough.,"A: I've been passed over for another promotion... B: That must be tough, how are you holding up?",Core Belief
471,A: Everybody thinks I am incompetent.,"A: I messed up on the project today, and my boss corrected me... B: We all make mistakes, you're being too hard on yourself.",Intermediate Belief
472,"A: I'm a failure as a parent, my child is unhappy because of me.","A: My teenage son seemed really upset after our conversation yesterday... B: Is that perhaps just his mood lately, or has something specific happened?",Core Belief
473,"A: Every time I start a new project, I get this sinking feeling that I'm not capable enough.","B: Looks like you've got another new assignment. Feeling excited? A: Honestly, I mostly feel overwhelmed.",Automatic Thought
474,"A: I should have spoken up in the meeting, but as usual, I just couldn't do it.","B: You appeared quite during the meeting, was everything okay? A: I always find myself staying quiet.",Intermediate Belief
475,A: I just feel worthless when things like this happen.,"A: I didn't get the promotion I was working towards... B: That's tough, did you get any feedback?",Core Belief
476,"A: I'm convinced I'll be alone forever, it seems like a fact.","A: My last relationship ended badly, and it's been a while since then... B: It's been hard to meet someone new?",Core Belief
477,A: I'm just going to embarrass myself again like last time.,"A: Whenever I think about speaking up in meetings, I just freeze... B: Did something happen during a past meeting?",Automatic Thought
478,"A: If I’m not able to solve this problem quickly, it probably means I’m not cut out for this job.","A: I've been stuck on this issue for hours now... B: Sometimes these things take time, you know?",Intermediate Belief
479,A: I always feel like it's my fault when things go wrong in any group project.,A: I've been really stressed at work with all these group assignments... B: Have there been specific incidents that make you feel this way?,Automatic Thought
480,"A: If I can't succeed in this new role, maybe I’m just not cut out for this career.","B: Sounds like you're concerned about taking on the new position. A: Yes, I’m worried that I don’t have what it takes.",Intermediate Belief
481,"A: Every time I speak up, people seem disinterested. I just stop talking.","A: I get so nervous at meetings.
B: Why do you think that is?",Automatic Thought
482,"A: I guess I've always felt like I'm the odd one out, like I fundamentally don't fit in with others.","A: I haven't been too social lately.
B: Been feeling out of place?",Core Belief
483,"Every time someone looks at me, I feel like they're judging me.",A: I can't shake the feeling I'm being watched at work. B: Is there a reason you feel that way?,Automatic Thought
484,"I'm convinced that if I make one mistake, I'll be fired on the spot.","A: How's the new job going? B: It's alright, but I'm constantly under stress.",Automatic Thought
485,A: Sometimes I feel like I'll never be happy again.,"A: Lately, every day has been so hard... B: You've been having a tough time with the breakup?",Automatic Thought
486,"A: One mistake at work, and my whole day is ruined because I'm convinced I'll be fired.","A: I got some feedback today and it wasn't all positive... B: So, you're worried about your job security?",Automatic Thought
487,"A: Every time I'm in a group, I feel like I don't belong and everyone can see it.",A: I'm not really good at social events... B: Do you feel anxious when you're around people?,Intermediate Belief
488,A: I must perform perfectly on this task or everyone will think I'm incompetent.,A: This project is really important for my career... B: I’m sure you’ve worked hard and you’re well-prepared.,Intermediate Belief
489,"A: I always mess things up, even when it's something simple.","A: Just made a small mistake at work today... B: Everyone makes mistakes though, right?",Automatic Thought
490,A: I guess I just believe I'm not smart enough to solve these problems.,A: I’m struggling with this new project. B: What makes you think you won’t be able to tackle it?,Intermediate Belief
491,A: I'll never be happy because I can't change who I am.,A: I'm just not cut out for this career... B: Have you thought about looking into other career paths?,Core Belief
492,"A: If I don't get this job, it shows I'm not skilled at anything.",A: I'm applying for a new position today. B: How are you feeling about your chances?,Intermediate Belief
493,"A: Every time I see that email notification, my heart sinks and I assume it's bad news.",A: Work has been so stressful lately... B: Are you getting a lot of urgent emails?,Automatic Thought
494,A: I never speak up in meetings; I just freeze and think everyone will laugh at my ideas.,A: I need to start contributing more during the team discussions... B: Have you tried sharing your thoughts?,Automatic Thought
495,"A: Just thinking about going to the party alone fills me with dread, I'll definitely mess up and embarrass myself.",A: I hate going places without any friends. B: Have you ever gone to an event alone before?,Automatic Thought
496,"A: If I don't get this job, it just proves that I'm incompetent.",A: I'm really worried about this interview. B: You've got a lot of experience and skills perfect for the role!,Intermediate Belief
497,A: I always seem to say the wrong thing and I can tell people are judging me.,A: I get so nervous at social events... B: Is it because you're wondering what other people think?,Automatic Thought
498,"A: If I don't perform perfectly on this project, my coworkers will think I'm incompetent.",A: I'm under a lot of stress to succeed at work... B: Does the stress come from within or do you feel pressured by others?,Intermediate Belief
499,"A: Even when things go right, I can't shake the feeling that I'm not qualified for my job.","A: I just completed a successful project at work, but... B: That's great, should be a confidence boost!",Intermediate Belief
500,"A: I always panic when my boss asks to speak with me, like I've done something wrong.","B: How was your day at work? A: Fine, but I have to talk to my boss tomorrow...",Automatic Thought
501,"A: Every time I make a mistake, I feel like I'm just not cut out for this job.","A: I messed up in the presentation today... B: It's okay to make mistakes sometimes, right?",Automatic Thought
502,"A: I just think that if I'm not constantly helping everyone, they'll start thinking I'm selfish or inconsiderate.",A: I've been so busy helping others with their tasks... B: Do you feel you're taking on too much?,Intermediate Belief
503,B: Maybe it’s not as bad as you think. Have you thought about alternative outcomes?,"A: Whenever I make a small mistake at work, I feel like it's the end of the world... B: Do you often feel that way when things don’t go as planned?",Automatic Thought
504,B: It sounds like you believe that you’re incapable of being loved.,A: I just don’t see why anyone would choose to stay with me... A: I don’t think I've ever felt truly wanted.,Core Belief
505,"A: It just slipped out, I always say the wrong thing at the wrong time!","A: I'm so embarrassed, I made a joke and nobody laughed... B: Maybe they just didn't hear you right?",Automatic Thought
506,"A: I feel like I'm a total disappointment, I can never meet my own standards.",A: I didn't get the promotion I worked hard for... B: Do you think this has affected how you view yourself overall?,Core Belief
507,"A: If I speak up in the meeting and say something wrong, everyone will think I'm incompetent.",A: I'm dreading this upcoming meeting... B: Have you thought about what you're going to say?,Automatic Thought
508,"A: It seems like if I'm not perfect, I've completely failed.","A: I had one error in my report and my boss noticed... B: But the rest of the report was excellent, wasn't it?",Intermediate Belief
509,A: I always mess things up. It's just who I am.,A: I can't believe I made that mistake at work... B: Everyone makes mistakes now and then.,Core Belief
510,"A: I just feel like something bad is going to happen today, even though everything was fine yesterday.","A: I slept so badly last night, I’m just so tired now... B: Are there any particular worries you have today?",Automatic Thought
511,I always mess things up when I'm under pressure.,"A: Lately, every time I face a deadline, I get so worried... B: Has there been a time when you've felt confident about meeting a deadline?",Automatic Thought
512,"I should be able to handle this; if I can't, then I'm worthless.","A: I have been given this project at work, and I'm stressing out... B: You've handled similar projects before, haven't you?",Intermediate Belief
513,"A: Every time I'm about to speak in a meeting, I become paralyzed thinking everyone will laugh at my ideas.",A: I'm really nervous about tomorrow's team meeting... B: Is it because you think your peers won't take you seriously?,Automatic Thought
514,"A: Deep down, I've always felt that I'm just not cut out for success, that I don't really deserve it.","A: Even after getting that promotion, why can't I shake this feeling of inadequacy? B: Do you often feel you're not deserving?",Core Belief
515,"A: I'm such a screwup, I always mess everything up.","A: I spilled coffee on the report I worked on all night... B: That's frustrating, it was an accident though, right?",Intermediate Belief
516,"A: I don't think I'll ever be successful, I just don't have what it takes.",A: I've been passed over for a promotion again... B: Is there anything you think might have contributed to that?,Core Belief
